ProductAttributeID,ProductID,AttributeID
1,1,17
2,1,21
3,1,88
4,2,17
5,2,32
6,2,88
7,3,17
8,3,20
9,3,88
10,4,17
11,4,30
12,4,88
13,5,17
14,5,58
15,5,30
16,6,17
17,6,58
18,6,29
19,7,17
20,7,57
21,7,30
22,8,17
23,8,57
24,8,29
25,9,17
26,9,60
27,9,30
28,10,17
29,10,60
30,10,29
31,11,17
32,11,59
33,11,30
34,12,17
35,12,59
36,12,29
37,13,17
38,13,97
39,13,29
40,14,17
41,14,94
42,14,29
43,15,17
44,15,96
45,15,29
46,16,17
47,16,95
48,16,29
49,17,17
50,17,60
51,17,20
52,18,17
53,18,57
54,18,20
55,19,17
56,19,58
57,19,20
58,20,17
59,20,59
60,20,20
61,21,17
62,21,20
63,21,89
64,22,17
65,22,20
66,22,86
67,23,17
68,23,29
69,23,89
70,24,17
71,24,29
72,24,86
73,25,17
74,25,21
75,25,89
76,26,17
77,26,21
78,26,86
79,27,17
80,27,30
81,27,1
82,28,17
83,28,21
84,28,1
85,29,17
86,29,28
87,29,1
88,30,17
89,30,20
90,30,1
91,31,17
92,31,94
93,31,20
94,32,17
95,32,96
96,32,20
97,33,17
98,33,95
99,33,20
100,34,17
101,34,32
102,34,1
103,35,17
104,35,32
105,35,2
106,36,17
107,36,21
108,36,1
109,37,17
110,37,21
111,37,2
112,38,17
113,38,20
114,38,1
115,39,17
116,39,20
117,39,2
118,40,17
119,40,28
120,40,1
121,41,17
122,41,28
123,41,2
124,42,17
125,42,94
126,42,29
127,43,17
128,43,94
129,43,20
130,44,17
131,44,97
132,44,29
133,45,17
134,45,97
135,45,20
136,46,17
137,46,96
138,46,29
139,47,17
140,47,96
141,47,20
142,48,17
143,48,95
144,48,29
145,49,17
146,49,95
147,49,20
148,50,17
149,50,58
150,50,29
151,51,17
152,51,60
153,51,29
154,52,17
155,52,59
156,52,29
157,53,17
158,53,21
159,53,33
160,53,6
161,53,35
162,53,100
163,54,17
164,54,21
165,54,34
166,54,4
167,54,36
168,54,130
169,55,17
170,55,28
171,55,33
172,55,6
173,55,35
174,55,188
175,56,17
176,56,28
177,56,34
178,56,7
179,56,36
180,56,108
181,57,17
182,57,59
183,57,20
184,58,17
185,58,59
186,58,29
187,59,17
188,59,59
189,59,30
190,60,17
191,60,60
192,60,20
193,61,17
194,61,60
195,61,29
196,62,17
197,62,60
198,62,30
199,63,17
200,63,58
201,63,20
202,64,17
203,64,58
204,64,29
205,65,17
206,65,58
207,65,30
208,66,17
209,66,60
210,66,29
211,67,17
212,67,60
213,67,20
214,68,17
215,68,60
216,68,30
217,69,17
218,69,59
219,69,29
220,70,17
221,70,59
222,70,20
223,71,17
224,71,59
225,71,30
226,72,17
227,72,58
228,72,29
229,73,17
230,73,58
231,73,20
232,74,17
233,74,58
