ProductID,Category,BaseKey,BaseName,VariantDim1Name,VariantDim1Value,VariantDim2Name,VariantDim2Value
1,TECH,TECH_BASE_000001,Smartphone 0001,Color,Blue,Storage,512GB
2,TECH,TECH_BASE_000001,Smartphone 0001,Color,White,Storage,512GB
3,TECH,TECH_BASE_000001,Smartphone 0001,Color,Black,Storage,512GB
4,TECH,TECH_BASE_000001,Smartphone 0001,Color,Space Gray,Storage,512GB
5,TECH,TECH_BASE_000002,Laptop 0002,ScreenSize,14-inch,Color,Space Gray
6,TECH,TECH_BASE_000002,Laptop 0002,ScreenSize,14-inch,Color,Silver
7,TECH,TECH_BASE_000002,Laptop 0002,ScreenSize,13-inch,Color,Space Gray
8,TECH,TECH_BASE_000002,Laptop 0002,ScreenSize,13-inch,Color,Silver
9,TECH,TECH_BASE_000002,Laptop 0002,ScreenSize,16-inch,Color,Space Gray
10,TECH,TECH_BASE_000002,Laptop 0002,ScreenSize,16-inch,Color,Silver
11,TECH,TECH_BASE_000002,Laptop 0002,ScreenSize,15-inch,Color,Space Gray
12,TECH,TECH_BASE_000002,Laptop 0002,ScreenSize,15-inch,Color,Silver
13,TECH,TECH_BASE_000003,4K Television 0003,TVSize,65-inch,Color,Silver
14,TECH,TECH_BASE_000003,4K Television 0003,TVSize,43-inch,Color,Silver
15,TECH,TECH_BASE_000003,4K Television 0003,TVSize,55-inch,Color,Silver
16,TECH,TECH_BASE_000003,4K Television 0003,TVSize,50-inch,Color,Silver
17,TECH,TECH_BASE_000004,Laptop 0004,ScreenSize,16-inch,Color,Black
18,TECH,TECH_BASE_000004,Laptop 0004,ScreenSize,13-inch,Color,Black
19,TECH,TECH_BASE_000004,Laptop 0004,ScreenSize,14-inch,Color,Black
20,TECH,TECH_BASE_000004,Laptop 0004,ScreenSize,15-inch,Color,Black
21,TECH,TECH_BASE_000005,Smartphone 0005,Color,Black,Storage,64GB
22,TECH,TECH_BASE_000005,Smartphone 0005,Color,Black,Storage,128GB
23,TECH,TECH_BASE_000005,Smartphone 0005,Color,Silver,Storage,64GB
24,TECH,TECH_BASE_000005,Smartphone 0005,Color,Silver,Storage,128GB
25,TECH,TECH_BASE_000005,Smartphone 0005,Color,Blue,Storage,64GB
26,TECH,TECH_BASE_000005,Smartphone 0005,Color,Blue,Storage,128GB
27,TECH,TECH_BASE_000006,Smartwatch 0006,Color,Space Gray,Band,Leather
28,TECH,TECH_BASE_000006,Smartwatch 0006,Color,Blue,Band,Leather
29,TECH,TECH_BASE_000006,Smartwatch 0006,Color,Red,Band,Leather
30,TECH,TECH_BASE_000006,Smartwatch 0006,Color,Black,Band,Leather
31,TECH,TECH_BASE_000007,4K Television 0007,TVSize,43-inch,Color,Black
32,TECH,TECH_BASE_000007,4K Television 0007,TVSize,55-inch,Color,Black
33,TECH,TECH_BASE_000007,4K Television 0007,TVSize,50-inch,Color,Black
34,TECH,TECH_BASE_000008,Smartwatch 0008,Color,White,Band,Leather
35,TECH,TECH_BASE_000008,Smartwatch 0008,Color,White,Band,Silicone
36,TECH,TECH_BASE_000008,Smartwatch 0008,Color,Blue,Band,Leather
37,TECH,TECH_BASE_000008,Smartwatch 0008,Color,Blue,Band,Silicone
38,TECH,TECH_BASE_000008,Smartwatch 0008,Color,Black,Band,Leather
39,TECH,TECH_BASE_000008,Smartwatch 0008,Color,Black,Band,Silicone
40,TECH,TECH_BASE_000008,Smartwatch 0008,Color,Red,Band,Leather
41,TECH,TECH_BASE_000008,Smartwatch 0008,Color,Red,Band,Silicone
42,TECH,TECH_BASE_000009,4K Television 0009,TVSize,43-inch,Color,Silver
43,TECH,TECH_BASE_000009,4K Television 0009,TVSize,43-inch,Color,Black
44,TECH,TECH_BASE_000009,4K Television 0009,TVSize,65-inch,Color,Silver
45,TECH,TECH_BASE_000009,4K Television 0009,TVSize,65-inch,Color,Black
46,TECH,TECH_BASE_000009,4K Television 0009,TVSize,55-inch,Color,Silver
47,TECH,TECH_BASE_000009,4K Television 0009,TVSize,55-inch,Color,Black
48,TECH,TECH_BASE_000009,4K Television 0009,TVSize,50-inch,Color,Silver
49,TECH,TECH_BASE_000009,4K Television 0009,TVSize,50-inch,Color,Black
50,TECH,TECH_BASE_000010,Laptop 0010,ScreenSize,14-inch,Color,Silver
51,TECH,TECH_BASE_000010,Laptop 0010,ScreenSize,16-inch,Color,Silver
52,TECH,TECH_BASE_000010,Laptop 0010,ScreenSize,15-inch,Color,Silver
53,TECH,TECH_BASE_000011,Wireless Headphones 0011,Color,Blue,Connectivity,Bluetooth
54,TECH,TECH_BASE_000011,Wireless Headphones 0011,Color,Blue,Connectivity,Bluetooth+Wired
55,TECH,TECH_BASE_000011,Wireless Headphones 0011,Color,Red,Connectivity,Bluetooth
56,TECH,TECH_BASE_000011,Wireless Headphones 0011,Color,Red,Connectivity,Bluetooth+Wired
57,TECH,TECH_BASE_000012,Laptop 0012,ScreenSize,15-inch,Color,Black
58,TECH,TECH_BASE_000012,Laptop 0012,ScreenSize,15-inch,Color,Silver
59,TECH,TECH_BASE_000012,Laptop 0012,ScreenSize,15-inch,Color,Space Gray
60,TECH,TECH_BASE_000012,Laptop 0012,ScreenSize,16-inch,Color,Black
61,TECH,TECH_BASE_000012,Laptop 0012,ScreenSize,16-inch,Color,Silver
62,TECH,TECH_BASE_000012,Laptop 0012,ScreenSize,16-inch,Color,Space Gray
63,TECH,TECH_BASE_000012,Laptop 0012,ScreenSize,14-inch,Color,Black
64,TECH,TECH_BASE_000012,Laptop 0012,ScreenSize,14-inch,Color,Silver
65,TECH,TECH_BASE_000012,Laptop 0012,ScreenSize,14-inch,Color,Space Gray
66,TECH,TECH_BASE_000013,Laptop 0013,ScreenSize,16-inch,Color,Silver
67,TECH,TECH_BASE_000013,Laptop 0013,ScreenSize,16-inch,Color,Black
68,TECH,TECH_BASE_000013,Laptop 0013,ScreenSize,16-inch,Color,Space Gray
69,TECH,TECH_BASE_000013,Laptop 0013,ScreenSize,15-inch,Color,Silver
70,TECH,TECH_BASE_000013,Laptop 0013,ScreenSize,15-inch,Color,Black
71,TECH,TECH_BASE_000013,Laptop 0013,ScreenSize,15-inch,Color,Space Gray
72,TECH,TECH_BASE_000013,Laptop 0013,ScreenSize,14-inch,Color,Silver
73,TECH,TECH_BASE_000013,Laptop 0013,ScreenSize,14-inch,Color,Black
74,TECH,TECH_BASE_000013,Laptop 0013,ScreenSize,14-inch,Color,Space Gray
75,TECH,TECH_BASE_000013,Laptop 0013,ScreenSize,13-inch,Color,Silver
76,TECH,TECH_BASE_000013,Laptop 0013,ScreenSize,13-inch,Color,Black
77,TECH,TECH_BASE_000013,Laptop 0013,ScreenSize,13-inch,Color,Space Gray
78,TECH,TECH_BASE_000014,Smartphone 0014,Color,Space Gray,Storage,512GB
79,TECH,TECH_BASE_000014,Smartphone 0014,Color,Space Gray,Storage,64GB
80,TECH,TECH_BASE_000014,Smartphone 0014,Color,Blue,Storage,512GB
81,TECH,TECH_BASE_000014,Smartphone 0014,Color,Blue,Storage,64GB
82,TECH,TECH_BASE_000015,Smartphone 0015,Color,Silver,Storage,256GB
83,TECH,TECH_BASE_000015,Smartphone 0015,Color,Silver,Storage,128GB
84,TECH,TECH_BASE_000015,Smartphone 0015,Color,Silver,Storage,512GB
85,TECH,TECH_BASE_000015,Smartphone 0015,Color,Red,Storage,256GB
86,TECH,TECH_BASE_000015,Smartphone 0015,Color,Red,Storage,128GB
87,TECH,TECH_BASE_000015,Smartphone 0015,Color,Red,Storage,512GB
88,TECH,TECH_BASE_000015,Smartphone 0015,Color,Space Gray,Storage,256GB
89,TECH,TECH_BASE_000015,Smartphone 0015,Color,Space Gray,Storage,128GB
90,TECH,TECH_BASE_000015,Smartphone 0015,Color,Space Gray,Storage,512GB
91,TECH,TECH_BASE_000016,4K Television 0016,TVSize,50-inch,Color,Silver
92,TECH,TECH_BASE_000016,4K Television 0016,TVSize,50-inch,Color,Black
93,TECH,TECH_BASE_000016,4K Television 0016,TVSize,43-inch,Color,Silver
94,TECH,TECH_BASE_000016,4K Television 0016,TVSize,43-inch,Color,Black
95,TECH,TECH_BASE_000016,4K Television 0016,TVSize,55-inch,Color,Silver
96,TECH,TECH_BASE_000016,4K Television 0016,TVSize,55-inch,Color,Black
97,TECH,TECH_BASE_000017,Smartwatch 0017,Color,White,Band,Silicone
98,TECH,TECH_BASE_000017,Smartwatch 0017,Color,Red,Band,Silicone
99,TECH,TECH_BASE_000018,4K Television 0018,TVSize,43-inch,Color,Black
100,TECH,TECH_BASE_000018,4K Television 0018,TVSize,50-inch,Color,Black
101,TECH,TECH_BASE_000018,4K Television 0018,TVSize,65-inch,Color,Black
102,TECH,TECH_BASE_000019,Laptop 0019,ScreenSize,15-inch,Color,Black
103,TECH,TECH_BASE_000019,Laptop 0019,ScreenSize,16-inch,Color,Black
104,TECH,TECH_BASE_000020,Laptop 0020,ScreenSize,16-inch,Color,Black
105,TECH,TECH_BASE_000020,Laptop 0020,ScreenSize,16-inch,Color,Silver
106,TECH,TECH_BASE_000020,Laptop 0020,ScreenSize,13-inch,Color,Black
107,TECH,TECH_BASE_000020,Laptop 0020,ScreenSize,13-inch,Color,Silver
108,TECH,TECH_BASE_000020,Laptop 0020,ScreenSize,15-inch,Color,Black
109,TECH,TECH_BASE_000020,Laptop 0020,ScreenSize,15-inch,Color,Silver
110,TECH,TECH_BASE_000021,4K Television 0021,TVSize,50-inch,Color,Silver
111,TECH,TECH_BASE_000021,4K Television 0021,TVSize,50-inch,Color,Black
112,TECH,TECH_BASE_000021,4K Television 0021,TVSize,43-inch,Color,Silver
113,TECH,TECH_BASE_000021,4K Television 0021,TVSize,43-inch,Color,Black
114,TECH,TECH_BASE_000021,4K Television 0021,TVSize,65-inch,Color,Silver
115,TECH,TECH_BASE_000021,4K Television 0021,TVSize,65-inch,Color,Black
116,TECH,TECH_BASE_000022,Smartwatch 0022,Color,Red,Band,Leather
117,TECH,TECH_BASE_000022,Smartwatch 0022,Color,Blue,Band,Leather
118,TECH,TECH_BASE_000023,Wireless Headphones 0023,Color,White,Connectivity,Bluetooth+Wired
119,TECH,TECH_BASE_000023,Wireless Headphones 0023,Color,White,Connectivity,Bluetooth
120,TECH,TECH_BASE_000023,Wireless Headphones 0023,Color,Silver,Connectivity,Bluetooth+Wired
121,TECH,TECH_BASE_000023,Wireless Headphones 0023,Color,Silver,Connectivity,Bluetooth
