ReturnID,OrderID,AccountID,Status
1,2,8929,REFUNDED
2,9,4372,RECEIVED
3,10,8838,RECEIVED
4,14,5805,REFUNDED
5,20,4003,RECEIVED
6,77,829,REJECTED
7,106,2255,REFUNDED
8,107,1997,RECEIVED
9,116,2514,INITIATED
10,135,4332,IN_TRANSIT
11,137,4451,RECEIVED
12,157,8402,RECEIVED
13,172,5340,RECEIVED
14,173,7852,RECEIVED
15,190,7231,REFUNDED
16,196,8109,REFUNDED
17,208,1566,REFUNDED
18,237,9912,IN_TRANSIT
19,251,231,IN_TRANSIT
20,256,1742,REFUNDED
21,266,3653,REFUNDED
22,325,6480,REFUNDED
23,333,520,REFUNDED
24,339,7675,REFUNDED
25,358,5902,REFUNDED
26,369,4685,REFUNDED
27,376,9019,REFUNDED
28,398,7131,RECEIVED
29,416,1986,REFUNDED
30,419,7510,RECEIVED
31,420,9684,RECEIVED
32,421,4488,IN_TRANSIT
33,445,1841,REFUNDED
34,477,3490,REFUNDED
35,495,9935,REFUNDED
36,499,4470,REFUNDED
37,500,5301,REFUNDED
38,507,9621,IN_TRANSIT
39,524,5481,IN_TRANSIT
40,535,8878,IN_TRANSIT
41,540,3830,IN_TRANSIT
42,550,4144,IN_TRANSIT
43,551,6883,REFUNDED
44,569,4352,RECEIVED
45,582,6042,REFUNDED
46,591,9971,RECEIVED
47,597,9752,REFUNDED
48,600,5922,RECEIVED
49,605,2722,IN_TRANSIT
50,622,2419,RECEIVED
51,629,5128,REFUNDED
52,636,6065,RECEIVED
53,645,9014,REFUNDED
54,647,4318,REJECTED
55,650,4675,REFUNDED
56,685,656,REFUNDED
57,709,5682,REFUNDED
58,742,8901,RECEIVED
59,751,2956,REFUNDED
60,759,1022,RECEIVED
61,763,8786,REJECTED
62,786,4674,REFUNDED
63,793,7934,REFUNDED
64,807,4394,REFUNDED
65,836,27,REFUNDED
66,862,9301,REFUNDED
67,865,3227,REFUNDED
68,887,2250,REFUNDED
69,893,6680,REFUNDED
70,917,6630,REFUNDED
71,928,9932,INITIATED
72,936,1196,REFUNDED
73,937,4231,IN_TRANSIT
74,943,8660,INITIATED
75,952,8694,RECEIVED
76,958,8022,RECEIVED
77,962,7550,IN_TRANSIT
78,987,4611,INITIATED
79,989,3512,INITIATED
80,990,7502,REFUNDED
81,991,2614,REFUNDED
82,1012,3040,REFUNDED
83,1026,1826,IN_TRANSIT
84,1035,2731,REFUNDED
85,1036,8749,IN_TRANSIT
86,1066,8698,REFUNDED
87,1070,9050,INITIATED
88,1076,1097,RECEIVED
89,1089,7265,IN_TRANSIT
90,1098,3580,RECEIVED
91,1110,6088,REFUNDED
92,1111,2468,REFUNDED
93,1146,2904,REFUNDED
94,1150,1288,REFUNDED
95,1158,6635,IN_TRANSIT
96,1172,3514,INITIATED
97,1176,4720,REFUNDED
98,1190,9764,REFUNDED
99,1194,9348,RECEIVED
100,1217,3255,REFUNDED
101,1218,3823,RECEIVED
102,1235,2078,IN_TRANSIT
103,1243,5226,REFUNDED
104,1254,9976,RECEIVED
105,1261,9472,REFUNDED
106,1262,9780,REFUNDED
107,1267,4821,REFUNDED
108,1278,873,REFUNDED
109,1287,2903,REFUNDED
110,1292,5519,INITIATED
111,1295,6144,REFUNDED
112,1303,7708,IN_TRANSIT
113,1307,2140,REFUNDED
114,1310,4320,IN_TRANSIT
115,1316,7552,IN_TRANSIT
116,1326,8668,INITIATED
117,1340,6575,INITIATED
118,1347,506,REJECTED
119,1358,711,REFUNDED
120,1361,3579,IN_TRANSIT
121,1370,476,INITIATED
122,1388,9550,RECEIVED
