ReturnItemID,ReturnID,OrderItemID,Quantity,RefundAmount
1,1,5,3,96.96
2,2,18,1,20.29
3,3,21,1,25.21
4,3,23,1,147.87
5,3,22,1,860.15
6,4,27,1,791.09
7,5,44,1,2194.34
8,5,43,1,80.06
9,5,41,1,1036.13
10,6,163,1,1131.54
11,7,219,2,2227.54
12,8,222,1,2131.55
13,9,238,1,99.34
14,10,273,1,417.23
15,11,280,1,110.63
16,11,278,1,28.15
17,11,277,1,57.64
18,12,320,1,191.15
19,13,364,1,137.25
20,13,367,1,461.15
21,14,371,1,451.20
22,15,407,1,323.99
23,16,418,1,35.30
24,17,440,1,74.46
25,18,497,2,170.50
26,19,524,1,19.75
27,20,531,1,34.50
28,21,552,1,521.64
29,22,677,1,404.13
30,23,696,1,322.68
31,23,697,1,10.59
32,24,709,1,1134.04
33,24,708,1,20.57
34,25,747,1,134.37
35,25,749,1,52.98
36,26,768,1,20.09
37,26,770,1,510.81
38,26,767,1,838.84
39,27,782,1,30.00
40,27,781,1,105.61
41,28,825,1,20.98
42,28,827,1,1255.27
43,28,826,2,72.90
44,29,865,1,2050.48
45,30,868,1,220.02
46,30,869,2,1094.00
47,31,870,1,642.01
48,32,876,1,212.25
49,33,914,1,16.82
50,34,974,1,52.00
51,34,976,1,794.47
52,34,975,1,917.86
53,35,1013,1,1209.50
54,36,1022,1,24.92
55,37,1025,1,10.33
56,37,1024,1,67.14
57,38,1043,1,85.79
58,38,1042,1,911.75
59,38,1040,1,21.75
60,38,1041,1,948.64
61,39,1072,1,32.32
62,40,1086,1,114.78
63,41,1093,1,22.46
64,42,1110,2,61.68
65,42,1111,1,1542.81
66,43,1112,3,1200.30
67,43,1113,1,57.64
68,44,1147,1,76.58
69,45,1170,1,1640.96
70,46,1185,1,28.15
71,47,1198,1,206.57
72,47,1197,1,36.20
73,48,1204,1,50.42
74,48,1206,1,33.85
75,48,1203,1,600.64
76,49,1212,1,20.04
77,50,1244,1,137.25
78,51,1258,1,118.50
79,51,1259,2,800.30
80,52,1271,1,11.22
81,53,1294,1,2041.88
82,53,1293,1,84.60
83,54,1297,2,113.32
84,54,1296,1,1587.17
85,54,1298,1,208.28
86,55,1301,1,1356.86
87,56,1357,1,51.68
88,57,1407,1,479.87
89,58,1478,1,15.68
90,58,1477,1,27.01
91,59,1491,2,175.24
92,60,1512,1,11.27
93,61,1517,1,358.20
94,62,1569,1,30.00
95,62,1572,1,40.00
96,62,1570,1,77.43
97,63,1583,1,51.55
98,64,1603,2,133.82
99,64,1602,1,76.45
100,65,1660,1,21.75
101,66,1717,1,113.78
102,67,1721,1,105.61
103,68,1768,1,17.78
104,69,1783,2,114.56
105,70,1835,1,50.19
106,70,1834,2,4388.68
107,71,1859,2,643.34
108,72,1881,1,435.39
109,73,1884,1,51.87
110,74,1895,1,34.50
111,74,1896,1,15.68
